SKARA,249,190
SKELLEFTEÅ,316,271
SKINNSKATTEBERG,38,41
SKURUP,81,43
SKÖVDE,360,285
SMEDJEBACKEN,84,51
SOLLEFTEÅ,243,311
SOLLENTUNA,418,198
SOLNA,342,97
SORSELE,55,44
SOTENÄS,86,25
STAFFANSTORP,56,16
STENUNGSUND,122,55
STOCKHOLM,3793,2087
STORFORS,99,69
STORUMAN,40,60
STRÄNGNÄS,120,89
STRÖMSTAD,91,43
STRÖMSUND,134,110
SUNDBYBERG,362,253
SUNDSVALL,320,388
SUNNE,169,114
SURAHAMMAR,72,74
SVALÖV,123,78
SVEDALA,72,37
SVENLJUNGA,115,84
SÄFFLE,264,199
SÄTER,53,15
SÄVSJÖ,150,216
SÖDERHAMN,322,393
SÖDERKÖPING,75,19
SÖDERTÄLJE,967,917
SÖLVESBORG,148,121
TANUM,117,74
TIBRO,159,161
TIDAHOLM,129,105
TIERP,154,59
TIMRÅ,81,66
TINGSRYD,98,193
TJÖRN,123,53
TOMELILLA,130,71
TORSBY,132,97
TORSÅS,107,71
TRANEMO,101,92
TRANÅS,171,137
TRELLEBORG,187,124
TROLLHÄTTAN,477,364
TROSA,64,34
TYRESÖ,102,75
TÄBY,186,86
TÖREBODA,172,157
UDDEVALLA,585,328
ULRICEHAMN,183,134
UMEÅ,408,185
UPPLANDS-BRO,158,91
UPPLANDS-VÄSBY,275,166
UPPSALA,1314,794
UPPVIDINGE,184,161
VADSTENA,39,32
VAGGERYD,93,34
VALDEMARSVIK,129,135
VALLENTUNA,115,11
VANSBRO,85,51
VARA,89,68
VARBERG,275,90
VAXHOLM,44,4
VELLINGE,96,10
VETLANDA,290,256
VILHELMINA,59,89
VIMMERBY,211,164
VINDELN,24,43
VINGÅKER,108,104
VÅRGÅRDA,85,56
VÄNERSBORG,507,388
VÄNNÄS,37,21
VÄRMDÖ,122,50
VÄRNAMO,228,149
VÄSTERVIK,343,289
VÄSTERÅS,1110,684
VÄXJÖ,480,429
YDRE,26,24
YSTAD,169,98
ÅMÅL,265,265
ÅNGE,47,32
ÅRE,135,116
ÅRJÄNG,82,58
ÅSELE,22,29
ÅSTORP,172,149
ÅTVIDABERG,96,74
ÄLMHULT,160,92
ÄLVDALEN,37,28
ÄLVKARLEBY,122,102
ÄLVSBYN,70,53
ÄNGELHOLM,171,69
ÖCKERÖ,64,1
ÖDESHÖG,81,36
ÖREBRO,841,614
ÖRKELLJUNGA,93,93
ÖRNSKÖLDSVIK,383,304
ÖSTERSUND,283,368
ÖSTERÅKER,174,74
ÖSTHAMMAR,108,50
ÖSTRA GÖINGE,388,368
ÖVERKALIX,45,36
ÖVERTORNEÅ,38,31
