Nyckeltal,Region,År,Invånare
"Invånare  totalt, antal",Bjurholm,2011,2431
"Invånare  totalt, antal",Bjurholm,2012,2421
"Invånare  totalt, antal",Bjurholm,2013,2436
"Invånare  totalt, antal",Bjurholm,2014,2451
"Invånare  totalt, antal",Bjurholm,2015,2453
"Invånare  totalt, antal",Bjurholm,2016,2454
"Invånare  totalt, antal",Bjuv,2010,14841
"Invånare  totalt, antal",Bjuv,2011,14851
"Invånare  totalt, antal",Bjuv,2012,14866
"Invånare  totalt, antal",Bjuv,2013,14801
"Invånare  totalt, antal",Bjuv,2014,14894
"Invånare  totalt, antal",Bjuv,2015,14962
"Invånare  totalt, antal",Bjuv,2016,15202
"Invånare  totalt, antal",Boden,2010,27471
"Invånare  totalt, antal",Boden,2011,27643
"Invånare  totalt, antal",Boden,2012,27598
"Invånare  totalt, antal",Boden,2013,27838
"Invånare  totalt, antal",Boden,2014,27887
"Invånare  totalt, antal",Boden,2015,27913
"Invånare  totalt, antal",Boden,2016,28042
"Invånare  totalt, antal",Bollebygd,2010,8375
"Invånare  totalt, antal",Bollebygd,2011,8356
"Invånare  totalt, antal",Bollebygd,2012,8507
"Invånare  totalt, antal",Bollebygd,2013,8562
"Invånare  totalt, antal",Bollebygd,2014,8652
"Invånare  totalt, antal",Bollebygd,2015,8799
"Invånare  totalt, antal",Bollebygd,2016,9102
"Invånare  totalt, antal",Bollnäs,2010,26248
"Invånare  totalt, antal",Bollnäs,2011,26193
"Invånare  totalt, antal",Bollnäs,2012,26158
"Invånare  totalt, antal",Bollnäs,2013,26141
"Invånare  totalt, antal",Bollnäs,2014,26394
"Invånare  totalt, antal",Bollnäs,2015,26594
"Invånare  totalt, antal",Bollnäs,2016,26929
"Invånare  totalt, antal",Borgholm,2010,10676
"Invånare  totalt, antal",Borgholm,2011,10622
"Invånare  totalt, antal",Borgholm,2012,10768
"Invånare  totalt, antal",Borgholm,2013,10619
"Invånare  totalt, antal",Borgholm,2014,10681
"Invånare  totalt, antal",Borgholm,2015,10681
"Invånare  totalt, antal",Borgholm,2016,10930
"Invånare  totalt, antal",Borlänge,2010,49251
"Invånare  totalt, antal",Borlänge,2011,49323
"Invånare  totalt, antal",Borlänge,2012,49482
"Invånare  totalt, antal",Borlänge,2013,50023
"Invånare  totalt, antal",Borlänge,2014,50715
"Invånare  totalt, antal",Borlänge,2015,50988
"Invånare  totalt, antal",Borlänge,2016,51604
"Invånare  totalt, antal",Borås,2010,103294
"Invånare  totalt, antal",Borås,2011,104106
