,crime,crime_id,period,period_id,periodicity,region,region_id,timepoint,value
54,Sexualbrott,3147,"År, 2003",2103,yearly,Hela landet,8291,2003-01-01,10815
55,Sexualbrott,3147,"År, 2004",2104,yearly,Hela landet,8291,2004-01-01,11204
56,Sexualbrott,3147,"År, 2005",2105,yearly,Hela landet,8291,2005-01-01,12768
57,Sexualbrott,3147,"År, 2006",2106,yearly,Hela landet,8291,2006-01-01,12542
58,Sexualbrott,3147,"År, 2007",2072,yearly,Hela landet,8291,2007-01-01,12921
59,Sexualbrott,3147,"År, 2008",2107,yearly,Hela landet,8291,2008-01-01,14693
60,Sexualbrott,3147,"År, 2009",2109,yearly,Hela landet,8291,2009-01-01,16069
61,Sexualbrott,3147,"År, 2010",2073,yearly,Hela landet,8291,2010-01-01,17589
62,Sexualbrott,3147,"År, 2011",2108,yearly,Hela landet,8291,2011-01-01,17556
63,Sexualbrott,3147,"År, 2012",2074,yearly,Hela landet,8291,2012-01-01,17379
64,Sexualbrott,3147,"År, 2013",2110,yearly,Hela landet,8291,2013-01-01,18229
65,Sexualbrott,3147,"År, 2014",2111,yearly,Hela landet,8291,2014-01-01,21298
66,Sexualbrott,3147,"År, 2015",2486,yearly,Hela landet,8291,2015-01-01,19021
67,Sexualbrott,3147,"År, 2016 prel.",2526,yearly,Hela landet,8291,2016-01-01,20656
68,"Sexualbrott, Våldtäkt inkl. grov (ingår även i våldsbrott)",3294,"År, 2000",2081,yearly,Hela landet,8291,2000-01-01,2026
69,"Sexualbrott, Våldtäkt inkl. grov (ingår även i våldsbrott)",3294,"År, 2001",2101,yearly,Hela landet,8291,2001-01-01,2086
70,"Sexualbrott, Våldtäkt inkl. grov (ingår även i våldsbrott)",3294,"År, 2002",2102,yearly,Hela landet,8291,2002-01-01,2185
71,"Sexualbrott, Våldtäkt inkl. grov (ingår även i våldsbrott)",3294,"År, 2003",2103,yearly,Hela landet,8291,2003-01-01,2565
72,"Sexualbrott, Våldtäkt inkl. grov (ingår även i våldsbrott)",3294,"År, 2004",2104,yearly,Hela landet,8291,2004-01-01,2631
73,"Sexualbrott, Våldtäkt inkl. grov (ingår även i våldsbrott)",3294,"År, 2005",2105,yearly,Hela landet,8291,2005-01-01,3787
74,"Sexualbrott, Våldtäkt inkl. grov (ingår även i våldsbrott)",3294,"År, 2006",2106,yearly,Hela landet,8291,2006-01-01,4208
75,"Sexualbrott, Våldtäkt inkl. grov (ingår även i våldsbrott)",3294,"År, 2007",2072,yearly,Hela landet,8291,2007-01-01,4749
76,"Sexualbrott, Våldtäkt inkl. grov (ingår även i våldsbrott)",3294,"År, 2008",2107,yearly,Hela landet,8291,2008-01-01,5446
77,"Sexualbrott, Våldtäkt inkl. grov (ingår även i våldsbrott)",3294,"År, 2009",2109,yearly,Hela landet,8291,2009-01-01,5937
78,"Sexualbrott, Våldtäkt inkl. grov (ingår även i våldsbrott)",3294,"År, 2010",2073,yearly,Hela landet,8291,2010-01-01,5960
79,"Sexualbrott, Våldtäkt inkl. grov (ingår även i våldsbrott)",3294,"År, 2011",2108,yearly,Hela landet,8291,2011-01-01,6532
80,"Sexualbrott, Våldtäkt inkl. grov (ingår även i våldsbrott)",3294,"År, 2012",2074,yearly,Hela landet,8291,2012-01-01,6324
81,"Sexualbrott, Våldtäkt inkl. grov (ingår även i våldsbrott)",3294,"År, 2013",2110,yearly,Hela landet,8291,2013-01-01,6017
82,"Sexualbrott, Våldtäkt inkl. grov (ingår även i våldsbrott)",3294,"År, 2014",2111,yearly,Hela landet,8291,2014-01-01,6697
83,"Sexualbrott, Våldtäkt inkl. grov (ingår även i våldsbrott)",3294,"År, 2015",2486,yearly,Hela landet,8291,2015-01-01,5918
84,"Sexualbrott, Våldtäkt inkl. grov (ingår även i våldsbrott)",3294,"År, 2016 prel.",2526,yearly,Hela landet,8291,2016-01-01,6563
85,"Sexualbrott, Våldtäkt inkl. grov (ingår även i våldsbrott), Mot samtliga personer, Utomhus",3322,"År, 2000",2081,yearly,Hela landet,8291,2000-01-01,554
86,"Sexualbrott, Våldtäkt inkl. grov (ingår även i våldsbrott), Mot samtliga personer, Utomhus",3322,"År, 2001",2101,yearly,Hela landet,8291,2001-01-01,575
87,"Sexualbrott, Våldtäkt inkl. grov (ingår även i våldsbrott), Mot samtliga personer, Utomhus",3322,"År, 2002",2102,yearly,Hela landet,8291,2002-01-01,581
88,"Sexualbrott, Våldtäkt inkl. grov (ingår även i våldsbrott), Mot samtliga personer, Utomhus",3322,"År, 2003",2103,yearly,Hela landet,8291,2003-01-01,692
89,"Sexualbrott, Våldtäkt inkl. grov (ingår även i våldsbrott), Mot samtliga personer, Utomhus",3322,"År, 2004",2104,yearly,Hela landet,8291,2004-01-01,769
90,"Sexualbrott, Våldtäkt inkl. grov (ingår även i våldsbrott), Mot samtliga personer, Utomhus",3322,"År, 2005",2105,yearly,Hela landet,8291,2005-01-01,993
91,"Sexualbrott, Våldtäkt inkl. grov (ingår även i våldsbrott), Mot samtliga personer, Utomhus",3322,"År, 2006",2106,yearly,Hela landet,8291,2006-01-01,987
92,"Sexualbrott, Våldtäkt inkl. grov (ingår även i våldsbrott), Mot samtliga personer, Utomhus",3322,"År, 2007",2072,yearly,Hela landet,8291,2007-01-01,1096
93,"Sexualbrott, Våldtäkt inkl. grov (ingår även i våldsbrott), Mot samtliga personer, Utomhus",3322,"År, 2008",2107,yearly,Hela landet,8291,2008-01-01,1162
94,"Sexualbrott, Våldtäkt inkl. grov (ingår även i våldsbrott), Mot samtliga personer, Utomhus",3322,"År, 2009",2109,yearly,Hela landet,8291,2009-01-01,1195
95,"Sexualbrott, Våldtäkt inkl. grov (ingår även i våldsbrott), Mot samtliga personer, Utomhus",3322,"År, 2010",2073,yearly,Hela landet,8291,2010-01-01,1100
96,"Sexualbrott, Våldtäkt inkl. grov (ingår även i våldsbrott), Mot samtliga personer, Utomhus",3322,"År, 2011",2108,yearly,Hela landet,8291,2011-01-01,1044
97,"Sexualbrott, Våldtäkt inkl. grov (ingår även i våldsbrott), Mot samtliga personer, Utomhus",3322,"År, 2012",2074,yearly,Hela landet,8291,2012-01-01,1053
98,"Sexualbrott, Våldtäkt inkl. grov (ingår även i våldsbrott), Mot samtliga personer, Utomhus",3322,"År, 2013",2110,yearly,Hela landet,8291,2013-01-01,1011
99,"Sexualbrott, Våldtäkt inkl. grov (ingår även i våldsbrott), Mot samtliga personer, Utomhus",3322,"År, 2014",2111,yearly,Hela landet,8291,2014-01-01,1024
100,"Sexualbrott, Våldtäkt inkl. grov (ingår även i våldsbrott), Mot samtliga personer, Utomhus",3322,"År, 2015",2486,yearly,Hela landet,8291,2015-01-01,1043
101,"Sexualbrott, Våldtäkt inkl. grov (ingår även i våldsbrott), Mot samtliga personer, Utomhus",3322,"År, 2016 prel.",2526,yearly,Hela landet,8291,2016-01-01,1004
102,"Stöld-, rån- och häleribrott",3150,"År, 2000",2081,yearly,Hela landet,8291,2000-01-01,709272
103,"Stöld-, rån- och häleribrott",3150,"År, 2001",2101,yearly,Hela landet,8291,2001-01-01,671863
104,"Stöld-, rån- och häleribrott",3150,"År, 2002",2102,yearly,Hela landet,8291,2002-01-01,691743
105,"Stöld-, rån- och häleribrott",3150,"År, 2003",2103,yearly,Hela landet,8291,2003-01-01,673499
106,"Stöld-, rån- och häleribrott",3150,"År, 2004",2104,yearly,Hela landet,8291,2004-01-01,655994
107,"Stöld-, rån- och häleribrott",3150,"År, 2005",2105,yearly,Hela landet,8291,2005-01-01,633903
108,"Stöld-, rån- och häleribrott",3150,"År, 2006",2106,yearly,Hela landet,8291,2006-01-01,586398
109,"Stöld-, rån- och häleribrott",3150,"År, 2007",2072,yearly,Hela landet,8291,2007-01-01,580246
110,"Stöld-, rån- och häleribrott",3150,"År, 2008",2107,yearly,Hela landet,8291,2008-01-01,563349
111,"Stöld-, rån- och häleribrott",3150,"År, 2009",2109,yearly,Hela landet,8291,2009-01-01,558428
